Google Talk Plugin Video Renderer,libnpo1d.so,1205
MozPlugger 1.14.3 handles QuickTime and Windows Media Player Plugin,mozplugger.so,174
KParts Plugin,libkpartsplugin.so,54
Shockwave Flash,libflashplayer.so,8751
Spice Firefox Plugin 2.8.90,npSpiceConsole.so,54
PackageKit,packagekit-plugin.so,328
DivX Browser Plug-In,gecko-mediaplayer-dvx.so,607
Gnome Chemistry Utils,libmozgcu.so,8
EstEID plug-in,npesteid-firefox-plugin.so,16
iTunes Application Detector,librhythmbox-itms-detection-plugin.so,3649
QuickTime Plug-in 7.6.9,gecko-mediaplayer-qt.so,596
gxine starter plugin,gxineplugin.so,57
Google Talk Plugin,libnpgoogletalk.so,1219
Skype Buttons for Kopete,skypebuttons.so,754
RealPlayer 9,gecko-mediaplayer-rm.so,584
mplayerplug-in is now gecko-mediaplayer 1.0.9,gecko-mediaplayer.so,605
Xine Plugin,xineplugin.so,109
X2Go Client Plug-in 4.0.5.0,libx2goplugin.so,63
FreeWRL X3DVRML,libFreeWRLplugin.so,31
