Shockwave Flash,libflashplayer.so,8751
mplayerplug-in is now gecko-mediaplayer 1.0.8,gecko-mediaplayer.so,605
Spice Firefox Plugin 2.8.90,npSpiceConsole.so,54
DivX Web Player,libtotem-mully-plugin.so,3917
Google Talk Plugin,libnpgoogletalk.so,1219
X2GoClient Plug-in 4.0.1.1,libx2goplugin.so,63
QuickTime Plug-in 7.6.9,gecko-mediaplayer-qt.so,596
DjView-4.9,nsdejavu.so,167
Google Talk Plugin Video Renderer,libnpo1d.so,1205
Windows Media Player Plug-in 10 compatible,libtotem-gmp-plugin.so,3907
Skype Buttons for Kopete,skypebuttons.so,754
VLC Web Plugin,libvlcplugin.so,541
PackageKit,packagekit-plugin.so,328
RealPlayer 9,gecko-mediaplayer-rm.so,584
VLC Multimedia Plugin (compatible Videos 3.10.1),libtotem-cone-plugin.so,4007
KParts Plugin,libkpartsplugin.so,54
DivX Browser Plug-In,gecko-mediaplayer-dvx.so,607
iTunes Application Detector,librhythmbox-itms-detection-plugin.so,3649
MozPlugger 1.14.5 handles QuickTime and Windows Media Player Plugin,mozplugger.so,174
Windows Media Player Plug-in,gecko-mediaplayer-wmp.so,593
QuickTime Plug-in 7.6.6,libtotem-narrowspace-plugin.so,3906
